toy,cluster_mode,n_clusters,steps,wall_s,w2_sq,mmd,mode_coverage,minority_recall
ring8,none,8,3000,38.56,0.2176,0.0036,1.0,nan
ring8,hard,8,3000,134.33,5.4156,0.6193,0.25,nan
ring8,soft,8,3000,40.84,0.5918,0.0358,1.0,nan
grid25,none,8,3000,38.45,0.1119,0.0034,1.0,nan
grid25,hard,8,3000,251.28,1.5729,0.0599,1.0,nan
grid25,soft,8,3000,40.81,0.3386,0.0152,0.96,nan
ring_minority,none,8,3000,38.21,0.1183,0.005,0.875,0.007
ring_minority,hard,8,3000,47.87,7.3058,0.7967,0.125,0.0
ring_minority,soft,8,3000,40.29,0.5749,0.0115,0.875,0.003
